antecedents,consequents,support,confidence,lift,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,cosine,all_confidence,improvement,added_value,gini_index,lift_diff,kl_divergence
"frozenset({'mineral water', 'pancakes'})",frozenset({'spaghetti'}),0.011465137981602452,0.33992094861660077,1.9523331053392974,0.0055926063166692195,1.2511984430020109,0.5048192925714872,0.05838424983027834,0.2007662688576469,0.20288543602346118,0.14961205980389897,0.17411011865084655,0.16581082996575422,0.16581082996575422,0.005144973728437389,0.9523331053392974,0.32809143625028503
frozenset({'spaghetti'}),"frozenset({'mineral water', 'pancakes'})",0.011465137981602452,0.06584992343032159,1.9523331053392972,0.0055926063166692195,1.0343853606404392,0.590626349081217,0.05838424983027834,0.033242311761981544,0.20288543602346118,0.14961205980389897,0.03372883615517931,0.03212108727514228,0.03212108727514228,0.0014105263690842942,0.9523331053392972,0.06355829507758201
"frozenset({'frozen vegetables', 'mineral water'})",frozenset({'spaghetti'}),0.011998400213304892,0.33582089552238803,1.9287844849260587,0.005777694734245183,1.2434746528178264,0.4993809238520976,0.060646900269541774,0.19580186235890762,0.20236680304450183,0.15212602727789873,0.17411011865084655,0.16171077687154148,0.16171077687154148,0.00535237167011429,0.9287844849260587,0.3182547597018065
frozenset({'spaghetti'}),"frozenset({'frozen vegetables', 'mineral water'})",0.011998400213304892,0.06891271056661562,1.9287844849260587,0.005777694734245183,1.0356402041131358,0.5830544345798583,0.060646900269541774,0.034413693067908716,0.20236680304450183,0.15212602727789873,0.03572856952406346,0.03318414104255216,0.03318414104255216,0.0015397246767118976,0.9287844849260587,0.06530802113329567
frozenset({'soup'}),frozenset({'mineral water'}),0.023063591521130515,0.45646437994722955,1.9149548735929356,0.01101965678450801,1.4012545900028865,0.5032205021321218,0.08676028084252758,0.2863538095543793,0.2766102660362546,0.21015645834935834,0.23836821757099053,0.21809616237623902,0.21809616237623902,0.011444368594343527,0.9149548735929356,0.42784880830321353
frozenset({'mineral water'}),frozenset({'soup'}),0.023063591521130515,0.09675615212527965,1.9149548735929356,0.01101965678450801,1.051181700025136,0.6273300220873396,0.08676028084252758,0.048689679456855185,0.2766102660362546,0.21015645834935834,0.05052659645380616,0.046229555671473486,0.046229555671473486,0.004031257446515336,0.9149548735929356,0.09069054717389147
frozenset({'milk'}),frozenset({'frozen vegetables'}),0.023596853752832957,0.1820987654320988,1.9103815937149273,0.011244947814006083,1.1060985579281253,0.5474895576709907,0.11721854304635763,0.09592143228797127,0.21482560649227317,0.21231814590136916,0.09532062391681109,0.0867781415152877,0.0867781415152877,0.007028974402254676,0.9103815937149273,0.17005490634038378
frozenset({'frozen vegetables'}),frozenset({'milk'}),0.023596853752832957,0.24755244755244757,1.9103815937149273,0.011244947814006083,1.1567813263064306,0.526754984089876,0.11721854304635763,0.13553238001086065,0.21482560649227317,0.21231814590136916,0.12958272230369283,0.11796972524875474,0.11796972524875474,0.00879078290563752,0.9103815937149273,0.23117953701098326
"frozenset({'spaghetti', 'pancakes'})",frozenset({'mineral water'}),0.011465137981602452,0.455026455026455,1.908922505119373,0.005459059709249805,1.3975573483406096,0.4884516055162587,0.045478582760444204,0.28446585666960245,0.2515624445154646,0.14793937919762887,0.23836821757099053,0.21665823745546448,0.21665823745546448,0.005686189761822711,0.908922505119373,0.42442981007009656
frozenset({'mineral water'}),"frozenset({'spaghetti', 'pancakes'})",0.011465137981602452,0.04809843400447427,1.908922505119373,0.005459059709249805,1.0240589934659712,0.6251633361692427,0.045478582760444204,0.023493757312303267,0.2515624445154646,0.14793937919762887,0.025196640447940274,0.022901793556533996,0.022901793556533996,0.0010498621037109892,0.908922505119373,0.04486422488995987
frozenset({'milk'}),frozenset({'chicken'}),0.014798026929742702,0.11419753086419754,1.9035459533607684,0.007024100115096418,1.0611936991444115,0.5453299830693,0.08466819221967964,0.05766496653132119,0.1804320987654321,0.16783540830181037,0.05999200106652446,0.054205529797673076,0.054205529797673076,0.002993831884753427,0.9035459533607684,0.10605403622720039
